Título,Empresa,Local,Adequada (IA),Skills (IA),Motivo (IA),Link
ASSISTENTE DE ENGENHARIA,grupo rcs,"Brasília, DF, BR",Sim,,"A vaga envolve acompanhamento de obras, projetos de engenharia e arquitetura, e levantamento de áreas/serviços, que se alinham com a arquitetura de edificações, e o local é em Brasília.",https://br.indeed.com/viewjob?jk=a2b80a3b6fb4ffc2
Consultoria Técnica de Apoio a Processos Operacionais,Inter-American Development Bank,"Brasília, DF, BR",Sim,,"A vaga para Consultor(a) Técnico(a) de Apoio a Processos Operacionais na Divisão de Habitação e Desenvolvimento Urbano (HUD) envolve urbanização, habitação, infraestrutura e gestão de riscos, áreas diretamente ligadas à Arquitetura e Edificações, em Brasília. Nenhuma das habilidades listadas foi encontrada na descrição da vaga.",https://br.indeed.com/viewjob?jk=9a306e07a20a73da
Gestor Regional de Planejamento e Controle | Centro Oeste,,"Brasília, DF, BR",Sim,,"A vaga é para Gestor Regional que aceita formação em arquitetura e o local é Brasília, que está dentro da região pretendida. Nenhuma das ferramentas de arquitetura foi encontrada na descrição da vaga.",https://br.indeed.com/viewjob?jk=2be7ab9487458dcc
Instrutor(a),Senac,"Brasília, DF, BR",Sim,,"A vaga é para instrutor no Senac DF, instituição que oferece cursos na área de arquitetura e design, e embora não mencione explicitamente as habilidades listadas, um instrutor de arquitetura de edificações precisaria delas. A localização em Brasília, DF, está correta.",https://br.indeed.com/viewjob?jk=64c5d31a969b8e0f
Consultoria Técnica de Apoio a Processos Operacionais,Inter-American Development Bank,"Brasília, Federal District, Brazil",Sim,,"A vaga trata de habitação, desenvolvimento urbano, urbanização de favelas e habitação de interesse social, que são áreas de atuação da arquitetura de edificações, e está localizada em Brasília. Nenhuma das habilidades listadas foi encontrada na descrição da vaga.",https://www.linkedin.com/jobs/view/4411520629
PROMOTOR DE VENDAS - COMPLEMENTOS - CASA PARK - DF,Lider,"Brasília, Federal District, Brazil",Sim,,"A vaga é para Promotor de Vendas em loja de móveis de design, com graduação em Arquitetura desejável, no DF. Nenhuma das habilidades técnicas buscadas foi encontrada na descrição da vaga.",https://www.linkedin.com/jobs/view/4410664922
ARQUITETO JÚNIOR,Jobbol,"Remoto, BR",Sim,,"A vaga é para Arquiteto Júnior, explicitamente de arquitetura de edificações, e é 100% remota.",https://br.indeed.com/viewjob?jk=cea5568a04e9f470
Desenhista Cadista,Comunication BSB,"Asa Sul, DF, BR",Sim,,"A vaga é para desenhista cadista, que atua diretamente na elaboração e interpretação de projetos de edificações, e o local é em Asa Sul, DF, que se enquadra nas regras de localização. Nenhuma das habilidades buscadas foi encontrada na descrição da vaga.",https://br.indeed.com/viewjob?jk=e891bfc1be002a2c
Projetista/ Cadista,BuscarVagas - Empregos Brasil,"Brasília, Federal District, Brazil",Sim,,"A vaga de Projetista/Cadista, localizada em Brasília-DF, é diretamente relevante para Arquitetura de Edificações, com requisitos de normas técnicas e compatibilização de projetos.",https://www.linkedin.com/jobs/view/4411594088
ARQUITETO JÚNIOR,,Trabalho remoto,Sim,,"A vaga é para Arquiteto Júnior, diretamente relacionado a arquitetura de edificações. O local é remoto, o que satisfaz a regra 'local_correto'.","https://www.glassdoor.com.br/job-listing/arquiteto-j%C3%BAnior-jobbol-JV_KO0,16_KE17,23.htm?jl=1010138135125"
ARQUITETO DE INTERIORES,,Trabalho remoto,Sim,,"A vaga é para Arquiteto de Interiores, o que se enquadra em Arquitetura de Edificações, e o local é remoto, sendo considerado correto. Nenhuma das habilidades listadas foi encontrada na descrição da vaga.","https://www.glassdoor.com.br/job-listing/arquiteto-de-interiores-jobbol-JV_KO0,23_KE24,30.htm?jl=1010084634359"
